soundFile,df,soa,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,thisRow.t,notes,instr.started,instrText.started,instrKey.started,instr.stopped,instrKey.keys,instrKey.rt,instrKey.duration,practice_intro.started,pracIntroText.started,pracIntroKey.started,practice_intro.stopped,pracIntroKey.keys,pracIntroKey.rt,pracIntroKey.duration,practice_trial_sound.started,fixation.started,fixation.stopped,stimSound.started,stimSound.stopped,practice_trial_sound.stopped,practice_trial_response.started,response.started,key_resp.started,practice_trial_response.stopped,practiceLoop.key_resp.keys,practiceLoop.key_resp.rt,practiceLoop.key_resp.duration,main_intro.started,main_text.started,start_key.started,main_intro.stopped,start_key.keys,start_key.rt,start_key.duration,main_trial_sound.started,fixation_2.started,fixation_2.stopped,stimSound_2.started,stimSound_2.stopped,main_trial_sound.stopped,main_trial_response.started,response_2.started,key_resp_2.started,main_trial_response.stopped,mainLoop.key_resp_2.keys,mainLoop.key_resp_2.rt,mainLoop.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.009178249980323017,0.02341970897396095,0.02341970897396095,9.59080708399415,space,9.416384957992705,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240561,001,2026-03-12_14h43.02.544,ASS_builder_online,,2025.1.1,None,2026-03-12 14h43.10.234613 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.590829875000054,9.598375083995052,9.598375083995052,12.78236233399366,space,3.176373666006839,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240561,001,2026-03-12_14h43.02.544,ASS_builder_online,,2025.1.1,None,2026-03-12 14h43.10.234613 +0900,
stimuli/stim_df6_soa0.12.wav,6,0.12,0,0,0,2,1.5041495829937048,None,,,,0,0,0,7,,,,,12.833318499993766,,,,,,,,,,,,,,,,12.815513916983036,12.833318499993766,13.530243083980167,13.585802791644044,19.363162833993556,19.35320016698097,19.35328433397808,19.363162833993556,19.363162833993556,20.871775084000546,2,1.5041495829937048,None,,,,,,,,,,,,,,,,,,,,,240561,001,2026-03-12_14h43.02.544,ASS_builder_online,,2025.1.1,None,2026-03-12 14h43.10.234613 +0900,
stimuli/stim_df10_soa0.18.wav,10,0.18,1,1,0,1,1.974103540997021,None,,,,0,1,1,14,,,,,20.907312166993506,,,,,,,,,,,,,,,,20.89881770897773,20.907312166993506,21.603165833977982,21.68049029165219,30.335412499989616,30.32825949997641,30.328326708986424,30.335412499989616,30.335412499989616,32.315809416992124,1,1.974103540997021,None,,,,,,,,,,,,,,,,,,,,,240561,001,2026-03-12_14h43.02.544,ASS_builder_online,,2025.1.1,None,2026-03-12 14h43.10.234613 +0900,
stimuli/stim_df10_soa0.12.wav,10,0.12,2,2,0,2,0.7352994160028175,None,,,,0,2,2,13,,,,,32.34229745899211,,,,,,,,,,,,,,,,32.33467612499953,32.34229745899211,33.036064083979,33.119519666656075,38.89679708398762,38.886329708999256,38.88640091699199,38.89679708398762,38.89679708398762,39.638706541998545,2,0.7352994160028175,None,,,,,,,,,,,,,,,,,,,,,240561,001,2026-03-12_14h43.02.544,ASS_builder_online,,2025.1.1,None,2026-03-12 14h43.10.234613 +0900,
stimuli/stim_df8_soa0.09.wav,8,0.09,3,3,0,1,0.3579978320049122,None,,,,0,3,3,9,,,,,39.664604124991456,,,,,,,,,,,,,,,,39.65746724998462,39.664604124991456,40.35264537498006,40.446944916653834,44.78064291700139,44.774169791984605,44.77422966697486,44.78064291700139,44.78064291700139,45.14942558397888,1,0.3579978320049122,None,,,,,,,,,,,,,,,,,,,,,240561,001,2026-03-12_14h43.02.544,ASS_builder_online,,2025.1.1,None,2026-03-12 14h43.10.234613 +0900,
stimuli/stim_df2_soa0.18.wav,2,0.18,4,4,0,2,0.6653891660098452,None,,,,0,4,4,2,,,,,45.178070499998285,,,,,,,,,,,,,,,,45.17087920897757,45.178070499998285,45.869879374979064,45.952649291666845,54.613633999979356,54.60054416698404,54.60061216697795,54.613633999979356,54.613633999979356,55.28249012498418,2,0.6653891660098452,None,,,,,,,,,,,,,,,,,,,,,240561,001,2026-03-12_14h43.02.544,ASS_builder_online,,2025.1.1,None,2026-03-12 14h43.10.234613 +0900,
stimuli/stim_df12_soa0.18.wav,12,0.18,5,5,0,2,0.6263666239974555,None,,,,0,5,5,17,,,,,55.31151512498036,,,,,,,,,,,,,,,,55.30441579199396,55.31151512498036,56.00286249999772,56.085862458658326,64.74694591699517,64.73300024998025,64.73307204199955,64.74694591699517,64.74694591699517,65.38264104200061,2,0.6263666239974555,None,,,,,,,,,,,,,,,,,,,,,240561,001,2026-03-12_14h43.02.544,ASS_builder_online,,2025.1.1,None,2026-03-12 14h43.10.234613 +0900,
stimuli/stim_df4_soa0.18.wav,4,0.18,6,6,0,1,0.6661031659750734,None,,,,0,6,6,5,,,,,65.41558487497969,,,,,,,,,,,,,,,,65.40643049997743,65.41558487497969,66.11361566698179,66.18616287564898,74.84696533399983,74.83389491698472,74.83397508398048,74.84696533399983,74.84696533399983,75.51547912499518,1,0.6661031659750734,None,,,,,,,,,,,,,,,,,,,,,240561,001,2026-03-12_14h43.02.544,ASS_builder_online,,2025.1.1,None,2026-03-12 14h43.10.234613 +0900,
stimuli/stim_df8_soa0.12.wav,8,0.12,7,7,0,2,1.2934334999881685,None,,,,0,7,7,10,,,,,75.53956520897918,,,,,,,,,,,,,,,,75.53201133399853,75.53956520897918,76.23577520897379,76.31932300064751,82.09694712498458,82.08627304199035,82.086326833989,82.09694712498458,82.09694712498458,83.39882266698987,2,1.2934334999881685,None,,,,,,,,,,,,,,,,,,,,,240561,001,2026-03-12_14h43.02.544,ASS_builder_online,,2025.1.1,None,2026-03-12 14h43.10.234613 +0900,
