soundFile,df,soa,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop2.thisRepN,mainLoop2.thisTrialN,mainLoop2.thisN,mainLoop2.thisIndex,thisRow.t,notes,instr.started,instrText.started,instrKey.started,instr.stopped,instrKey.keys,instrKey.rt,instrKey.duration,practice_intro.started,pracIntroText.started,pracIntroKey.started,practice_intro.stopped,pracIntroKey.keys,pracIntroKey.rt,pracIntroKey.duration,practice_trial_sound.started,fixation.started,fixation.stopped,stimSound.started,stimSound.stopped,practice_trial_sound.stopped,practice_trial_response.started,response.started,key_resp.started,practice_trial_response.stopped,practiceLoop.key_resp.keys,practiceLoop.key_resp.rt,practiceLoop.key_resp.duration,main_intro.started,main_text.started,start_key.started,main_intro.stopped,start_key.keys,start_key.rt,start_key.duration,main_trial_sound.started,fixation_2.started,fixation_2.stopped,stimSound_2.started,stimSound_2.stopped,main_trial_sound.stopped,main_trial_response.started,response_2.started,key_resp_2.started,main_trial_response.stopped,mainLoop.key_resp_2.keys,mainLoop.key_resp_2.rt,mainLoop.key_resp_2.duration,break_2.started,break_text.started,break_key.started,break_2.stopped,break_key.keys,break_key.rt,break_key.duration,main_trial_sound2.started,fixation_3.started,fixation_3.stopped,stimSound_3.started,stimSound_3.stopped,main_trial_sound2.stopped,main_trial_response2.started,response_3.started,key_resp_3.started,main_trial_response2.stopped,mainLoop2.key_resp_3.keys,mainLoop2.key_resp_3.rt,mainLoop2.key_resp_3.duration,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
stimuli/stim_df10_soa0.09.wav,10,0.09,8,8,0,2,0.3238174990110565,None,,,,,,,0,8,8,12,,,,,,,,,81.00531716700061,,,,,,,,,,,,,,,,80.99684241699288,81.00531716700061,81.69794887499302,81.78767524965612,86.13138958299533,86.11575349999475,86.11582237499533,86.13138958299533,86.13138958299533,86.46711683299509,2,0.3238174990110565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meg,001,2026-03-12_10h55.58.434,ASS_builder_online,,2025.1.1,None,2026-03-12 10h56.04.920449 +0900,
stimuli/stim_df2_soa0.12.wav,2,0.12,9,9,0,2,0.41469445801340044,None,,,,,,,0,9,9,1,,,,,,,,,86.49119920801604,,,,,,,,,,,,,,,,86.48399516701465,86.49119920801604,87.18665758299176,87.27112499965394,93.04683770801057,93.03726645800634,93.0373190419923,93.04683770801057,93.04683770801057,93.46579437499167,2,0.41469445801340044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meg,001,2026-03-12_10h55.58.434,ASS_builder_online,,2025.1.1,None,2026-03-12 10h56.04.920449 +0900,
stimuli/stim_df10_soa0.18.wav,10,0.18,10,10,0,2,0.6008473330002744,None,,,,,,,0,10,10,14,,,,,,,,,93.49713491700822,,,,,,,,,,,,,,,,93.4887644170085,93.49713491700822,94.18779437500052,94.27053008365716,102.93134120799368,102.91751883301185,102.91756854200503,102.93134120799368,102.93134120799368,103.54006808300619,2,0.6008473330002744,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meg,001,2026-03-12_10h55.58.434,ASS_builder_online,,2025.1.1,None,2026-03-12 10h56.04.920449 +0900,
stimuli/stim_df6_soa0.18.wav,6,0.18,11,11,0,1,2.7540498320013285,None,,,,,,,0,11,11,8,,,,,,,,,103.57202391698956,,,,,,,,,,,,,,,,103.56303729201318,103.57202391698956,104.27104629200767,104.3479163336781,113.00266175001161,112.99543170799734,112.99549825000577,113.00266175001161,113.00266175001161,115.76654112499091,1,2.7540498320013285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meg,001,2026-03-12_10h55.58.434,ASS_builder_online,,2025.1.1,None,2026-03-12 10h56.04.920449 +0900,
stimuli/stim_df4_soa0.09.wav,4,0.09,12,12,0,2,1.6533551659958903,None,,,,,,,0,12,12,3,,,,,,,,,115.78652566700475,,,,,,,,,,,,,,,,115.77916887501488,115.78652566700475,116.4813115420111,116.5699820416669,120.90594612501445,120.89843662499334,120.89853695800412,120.90594612501445,120.90594612501445,122.5663063749962,2,1.6533551659958903,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meg,001,2026-03-12_10h55.58.434,ASS_builder_online,,2025.1.1,None,2026-03-12 10h56.04.920449 +0900,
stimuli/stim_df8_soa0.09.wav,8,0.09,13,13,0,1,0.5610066240187734,None,,,,,,,0,13,13,9,,,,,,,,,122.58880616701208,,,,,,,,,,,,,,,,122.57943812498706,122.58880616701208,123.2807271250058,123.3703127086667,127.70613825001055,127.69870095798979,127.6988093330001,127.70613825001055,127.70613825001055,128.2730350419879,1,0.5610066240187734,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meg,001,2026-03-12_10h55.58.434,ASS_builder_online,,2025.1.1,None,2026-03-12 10h56.04.920449 +0900,
stimuli/stim_df2_soa0.09.wav,2,0.09,14,14,0,2,0.5134527910267934,None,,,,,,,0,14,14,0,,,,,,,,,128.29562204200192,,,,,,,,,,,,,,,,128.2866634580132,128.29562204200192,128.986788292008,129.08125654166022,133.41683875001036,133.40946908300975,133.40953141701175,133.41683875001036,133.41683875001036,133.93276383299963,2,0.5134527910267934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meg,001,2026-03-12_10h55.58.434,ASS_builder_online,,2025.1.1,None,2026-03-12 10h56.04.920449 +0900,
stimuli/stim_df10_soa0.12.wav,10,0.12,15,15,0,1,0.7867806660069618,None,,,,,,,0,15,15,13,,,,,,,,,133.9556309170148,,,,,,,,,,,,,,,,133.94796058299835,133.9556309170148,134.64706374998786,134.7367829166799,140.51385479199234,140.50466870798846,140.50474170799134,140.51385479199234,140.51385479199234,141.3066614579875,1,0.7867806660069618,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meg,001,2026-03-12_10h55.58.434,ASS_builder_online,,2025.1.1,None,2026-03-12 10h56.04.920449 +0900,
stimuli/stim_df8_soa0.12.wav,8,0.12,16,16,0,2,0.775988540990511,None,,,,,,,0,16,16,10,,,,,,,,,141.33145900000818,,,,,,,,,,,,,,,,141.32371925000916,141.33145900000818,142.0205675830075,142.11473041665548,147.89814541701344,147.88242720800918,147.8824894579884,147.89814541701344,147.89814541701344,148.68107650001184,2,0.775988540990511,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meg,001,2026-03-12_10h55.58.434,ASS_builder_online,,2025.1.1,None,2026-03-12 10h56.04.920449 +0900,
stimuli/stim_df2_soa0.18.wav,2,0.18,17,17,0,2,0.5576959580066614,None,,,,,,,0,17,17,2,,,,,,,,,148.7059935000143,,,,,,,,,,,,,,,,148.70009850000497,148.7059935000143,149.39729774999432,149.48136758368153,158.13708695801324,158.12910537500284,158.12916916699032,158.13708695801324,158.13708695801324,158.6998584170069,2,0.5576959580066614,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meg,001,2026-03-12_10h55.58.434,ASS_builder_online,,2025.1.1,None,2026-03-12 10h56.04.920449 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.7001795830147,158.71268258299096,158.71268258299096,167.25009783299174,space,8.527215874986723,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meg,001,2026-03-12_10h55.58.434,ASS_builder_online,,2025.1.1,None,2026-03-12 10h56.04.920449 +0900,
stimuli/stim_df10_soa0.12.wav,10,0.12,0,0,0,,,,2,1.0850774569844361,None,,,,,,,,0,0,0,13,,,,,167.2838711249933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.2706388749939,167.2838711249933,167.98118937501567,168.05436349966138,173.83134187498945,173.82246570801362,173.82253683300223,173.83134187498945,173.83134187498945,174.9234529999958,2,1.0850774569844361,None,,,,,,,,,,,,,,,,,,,,,,,,,meg,001,2026-03-12_10h55.58.434,ASS_builder_online,,2025.1.1,None,2026-03-12 10h56.04.920449 +0900,
